taxon,locus_counts, total_chars, missing_data,proportion_missing_data,gc_content,at_content,nucleotides,?,-,A,C,G,T,N,R,Y,S,W,K,M,B,D,H,V,.
A270,467,1009334,303623,0.3008151910071394,0.33814574759197646,0.36103906140088415,0.6991848089928606,0,303623,197719,172503,168799,166690,0,0,0,0,0,0,0,0,0,0,0,0
A9887,590,1377235,372587,0.270532625151118,0.35136124190860674,0.3781061329402753,0.729467374848882,0,372587,282610,244230,239677,238131,0,0,0,0,0,0,0,0,0,0,0,0
A9890,592,1384175,383399,0.27698737515126337,0.34626835479617823,0.3767442700525584,0.7230126248487366,0,383399,283109,243115,236181,238371,0,0,0,0,0,0,0,0,0,0,0,0
A9891,592,1376469,377500,0.27425245319727504,0.3498284378362317,0.3759191089664933,0.7257475468027249,0,377500,280748,243977,237551,236693,0,0,0,0,0,0,0,0,0,0,0,0
A9892,591,1382384,396302,0.28668011203833377,0.30036227271148974,0.4129576152501765,0.7133198879616662,0,396302,300460,204691,210525,270406,0,0,0,0,0,0,0,0,0,0,0,0
A9894,524,1181312,363594,0.3077882896305125,0.2964475092100986,0.3957642011593889,0.6922117103694875,0,363594,246551,173390,176807,220970,0,0,0,0,0,0,0,0,0,0,0,0
A9898,574,1359770,418580,0.3078314714988564,0.28688086955882247,0.4052876589423211,0.6921685285011435,0,418580,290035,191821,198271,261063,0,0,0,0,0,0,0,0,0,0,0,0
A9899,581,1358518,417193,0.30709420118099284,0.287089313501919,0.4058164853170882,0.6929057988190072,0,417193,290560,191538,198478,260749,0,0,0,0,0,0,0,0,0,0,0,0
A9900,596,1396014,405591,0.29053505194073986,0.29883224666801333,0.4106327013912468,0.7094649480592602,0,405591,301871,205777,211397,271378,0,0,0,0,0,0,0,0,0,0,0,0
A9901,446,985448,318477,0.32317991411013064,0.28510890478239337,0.391711181107476,0.6768200858898694,0,318477,203634,138426,142534,182377,0,0,0,0,0,0,0,0,0,0,0,0
A9903,593,1387475,389246,0.28054271248130597,0.3470275140092614,0.3724297735094326,0.719457287518694,0,389246,280408,244037,237455,236329,0,0,0,0,0,0,0,0,0,0,0,0
A9904,577,1345386,401984,0.29878711388404516,0.29558431557932074,0.4056285705366341,0.7012128861159548,0,401984,287099,196101,201574,258628,0,0,0,0,0,0,0,0,0,0,0,0
A9908,595,1391769,399608,0.2871223601042989,0.30228076642028956,0.4105968734754115,0.7128776398957011,0,399608,301360,207983,212722,270096,0,0,0,0,0,0,0,0,0,0,0,0
A9909,583,1352717,397415,0.29379020149817,0.2996790903049197,0.40653070819691034,0.70620979850183,0,397415,289726,199956,205425,260195,0,0,0,0,0,0,0,0,0,0,0,0
A9912,548,1269360,374170,0.29477059305476777,0.2970032142181887,0.4082261927270435,0.7052294069452323,0,374170,273437,185311,191693,244749,0,0,0,0,0,0,0,0,0,0,0,0
B8_4,593,1382890,376229,0.27205996138521504,0.3485931635921874,0.3793468750225976,0.727940038614785,0,376229,284923,244235,237831,239672,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_heterosporus_B8920_GCA000697455,350,794983,260402,0.32755668989148196,0.29643778546207905,0.376005524646439,0.672443310108518,0,260402,159627,117580,118083,139291,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_meristosporus_B9252_GCA_000697375,410,952644,267484,0.28078064838491607,0.3363974370278929,0.382821914587191,0.7192193516150839,0,267484,196540,161174,159293,168153,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_meristosporus_CBS_931-73_GCA_002104905,558,1310361,346697,0.2645812871414824,0.35969400798711193,0.3757247048714057,0.7354187128585176,0,346697,267739,239633,231696,224596,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolus_ranarum_GCA_040143965,569,1316878,393028,0.2984543746649272,0.2954905465806248,0.406055078754448,0.7015456253350728,0,393028,281507,191781,197344,253218,0,0,0,0,0,0,0,0,0,0,0,0
MH6_3,599,1399439,405580,0.28981613346490986,0.29910914302088193,0.4110747235142082,0.7101838665350901,0,405580,302760,206169,212416,272514,0,0,0,0,0,0,0,0,0,0,0,0
MH8_1,597,1384464,404728,0.29233551757214343,0.29839706919067593,0.4092674132371806,0.7076644824278565,0,404728,298682,203665,209455,267934,0,0,0,0,0,0,0,0,0,0,0,0
MH9_1,599,1392999,405308,0.2909607257435217,0.2985953328035411,0.41044394145293717,0.7090392742564783,0,405308,300937,204764,211179,270811,0,0,0,0,0,0,0,0,0,0,0,0
